"filename", "language", "TypeScript", "vue", "TypeScript React", "Less", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Container\index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Container\src\LazyContainer.vue", "vue", 0, 136, 0, 0, 0, 0, 0, 10, 146
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Container\src\ScrollContainer.vue", "vue", 0, 85, 0, 0, 0, 0, 0, 9, 94
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Container\src\collapse\CollapseContainer.vue", "vue", 0, 98, 0, 0, 0, 0, 0, 10, 108
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Container\src\collapse\CollapseHeader.vue", "vue", 0, 36, 0, 0, 0, 0, 0, 3, 39
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Container\src\typing.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\ContextMenu\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\ContextMenu\src\ContextMenu.vue", "vue", 0, 182, 0, 0, 0, 0, 0, 26, 208
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\ContextMenu\src\createContextMenu.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 14, 76
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\ContextMenu\src\typing.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CountDown\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CountDown\src\CountButton.vue", "vue", 0, 56, 0, 0, 0, 0, 0, 7, 63
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CountDown\src\CountdownInput.vue", "vue", 0, 49, 0, 0, 0, 0, 0, 6, 55
